Date,Asset,Holdings,Cash,Total,Returns
2021-03-25,0.0,0.0,10000.0,10000.0,
2021-03-26,0.0,0.0,10000.0,10000.0,0.0
2021-03-29,0.0,0.0,10000.0,10000.0,0.0
2021-03-30,0.0,0.0,10000.0,10000.0,0.0
2021-03-31,0.0,0.0,10000.0,10000.0,0.0
2021-04-01,0.0,0.0,10000.0,10000.0,0.0
2021-04-05,0.0,0.0,10000.0,10000.0,0.0
2021-04-06,0.0,0.0,10000.0,10000.0,0.0
2021-04-07,0.0,0.0,10000.0,10000.0,0.0
2021-04-08,0.0,0.0,10000.0,10000.0,0.0
2021-04-09,0.0,0.0,10000.0,10000.0,0.0
2021-04-12,0.0,0.0,10000.0,10000.0,0.0
2021-04-13,0.0,0.0,10000.0,10000.0,0.0
2021-04-14,0.0,0.0,10000.0,10000.0,0.0
2021-04-15,0.0,0.0,10000.0,10000.0,0.0
2021-04-16,0.0,0.0,10000.0,10000.0,0.0
2021-04-19,0.0,0.0,10000.0,10000.0,0.0
2021-04-20,0.0,0.0,10000.0,10000.0,0.0
2021-04-21,0.0,0.0,10000.0,10000.0,0.0
2021-04-22,0.0,0.0,10000.0,10000.0,0.0
2021-04-23,0.0,0.0,10000.0,10000.0,0.0
2021-04-26,0.0,0.0,10000.0,10000.0,0.0
2021-04-27,0.0,0.0,10000.0,10000.0,0.0
2021-04-28,0.0,0.0,10000.0,10000.0,0.0
2021-04-29,0.0,0.0,10000.0,10000.0,0.0
2021-04-30,199.538126925328,199.538126925328,9800.461873074672,10000.0,0.0
2021-05-03,200.93073661765357,200.93073661765357,9800.461873074672,10001.392609692324,0.00013926096923233544
2021-05-04,197.13448394738424,197.13448394738424,9800.461873074672,9997.596357022056,-0.0003795724074054929
2021-05-05,196.83875848563179,196.83875848563179,9800.461873074672,9997.300631560303,-2.9579656068534632e-05
2021-05-06,199.5597506129742,199.5597506129742,9800.461873074672,10000.021623687646,0.00027217268216905843
2021-05-07,0.0,0.0,10001.19056387785,10001.19056387785,0.00011689376625301229
2021-05-10,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-11,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-12,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-13,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-14,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-17,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-18,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-19,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-20,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-21,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-24,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-25,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-26,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-27,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-28,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-05-31,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-06-01,0.0,0.0,10001.19056387785,10001.19056387785,0.0
2021-06-02,194.6730485526014,194.6730485526014,9806.517515325248,10001.19056387785,0.0
2021-06-03,193.54666002758148,193.54666002758148,9806.517515325248,10000.064175352829,-0.00011262544372359073
2021-06-04,198.7995579443469,198.7995579443469,9806.517515325248,10005.317073269594,0.0005252864206324315
2021-06-07,200.6081153430438,200.6081153430438,9806.517515325248,10007.125630668292,0.00018075962865071737
2021-06-08,199.21508076930522,199.21508076930522,9806.517515325248,10005.732596094553,-0.00013920426555547039
2021-06-09,200.36107186820914,200.36107186820914,9806.517515325248,10006.878587193456,0.0001145334524881303
2021-06-10,203.0922412610385,203.0922412610385,9806.517515325248,10009.609756586286,0.00027292920255117536
2021-06-11,203.76347031587838,203.76347031587838,9806.517515325248,10010.280985641126,6.705846393240122e-05
2021-06-14,206.40097413320012,206.40097413320012,9806.517515325248,10012.918489458447,0.00026347949883764876
2021-06-15,204.98212505772517,204.98212505772517,9806.517515325248,10011.499640382972,-0.00014170185016171288
2021-06-16,204.12293867398438,204.12293867398438,9806.517515325248,10010.640453999233,-8.581994851930563e-05
2021-06-17,209.18292926886787,209.18292926886787,9806.517515325248,10015.700444594115,0.0005054612257959779
2021-06-18,209.43902556171412,209.43902556171412,9806.517515325248,10015.956540886962,2.556948405785242e-05
2021-06-21,212.7321701080444,212.7321701080444,9806.517515325248,10019.249685433291,0.0003287898198125472
2021-06-22,214.36274921367308,214.36274921367308,9806.517515325248,10020.88026453892,0.0001627446322651771
2021-06-23,213.73525802138943,213.73525802138943,9806.517515325248,10020.252773346638,-6.261837041432461e-05
2021-06-24,214.94347246508386,214.94347246508386,9806.517515325248,10021.460987790331,0.00012057724201408604
2021-06-25,213.64857066688623,213.64857066688623,9806.517515325248,10020.166085992134,-0.0001292128762238054
2021-06-28,216.41686740926454,216.41686740926454,9806.517515325248,10022.934382734513,0.0002762725406566524
